Time,T0,T1,T2,T3,T4,T5,T6,T7
19.55,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
20.25,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
20.96,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
21.66,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
22.37,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
23.07,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
23.78,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
24.49,46.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
25.19,46.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
25.9,46.5,48.5,48.0,46.5,45.75,0.0,0.0,24.5
26.6,46.75,48.75,48.0,46.75,45.75,0.0,0.0,24.5
27.31,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
28.01,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
28.72,46.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
29.42,46.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
30.13,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
30.84,46.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
31.54,46.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
32.25,46.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
32.95,46.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
33.66,46.75,48.5,48.0,46.5,45.75,0.0,0.0,24.5
34.36,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
35.07,47.5,48.5,48.0,46.5,45.75,0.0,0.0,24.5
35.78,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
36.48,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
37.19,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
37.89,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
38.6,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
39.3,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
40.01,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
40.71,47.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
41.42,47.25,48.5,48.0,46.5,45.75,0.0,0.0,24.5
42.13,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
42.83,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
43.54,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
44.24,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
44.95,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
45.65,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
46.36,47.25,48.5,48.0,46.5,45.75,0.0,0.0,24.5
47.06,47.75,48.5,48.0,46.75,45.75,0.0,0.0,24.5
47.77,47.5,48.5,48.0,46.5,45.75,0.0,0.0,24.5
48.47,47.75,48.75,48.0,46.75,45.75,0.0,0.0,24.5
49.18,47.75,48.75,48.0,46.75,45.75,0.0,0.0,24.5
49.89,48.0,48.5,48.0,46.75,45.75,0.0,0.0,24.5
50.59,48.0,48.5,48.0,46.5,45.75,0.0,0.0,24.5
51.3,47.75,48.5,48.0,46.5,45.75,0.0,0.0,24.5
52.0,47.5,48.75,48.0,46.75,45.75,0.0,0.0,24.5
52.71,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
53.41,47.5,48.5,48.0,46.75,46.0,0.0,0.0,24.5
54.12,47.5,48.5,48.0,46.75,46.0,0.0,0.0,24.5
54.82,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
55.53,47.25,48.5,48.0,46.75,46.0,0.0,0.0,24.5
56.24,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
56.94,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
57.65,47.5,48.5,48.0,46.75,46.0,0.0,0.0,24.5
58.35,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
59.06,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
59.76,47.75,48.75,48.0,46.75,46.0,0.0,0.0,24.5
60.47,47.5,48.5,48.0,46.75,45.75,0.0,0.0,24.5
61.17,47.25,48.75,48.0,46.75,45.75,0.0,0.0,24.5
61.88,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
62.59,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
63.29,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
64.0,47.25,48.75,48.0,46.75,45.75,0.0,0.0,24.5
64.7,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
65.41,47.25,48.5,48.0,46.75,45.75,0.0,0.0,24.5
